bibliography.congress classifications,bibliography.languages,bibliography.subjects,bibliography.title,bibliography.type,metadata.downloads,metadata.id,metadata.rank,metadata.url,bibliography.author.birth,bibliography.author.death,bibliography.author.name,bibliography.publication.day,bibliography.publication.full,bibliography.publication.month,bibliography.publication.month name,bibliography.publication.year
PR,en,"Sisters -- Fiction,Courtship -- Fiction,Social classes -- Fiction,England -- Fiction,Domestic fiction,Young women -- Fiction,Love stories",Pride and Prejudice,Text,36576,1342,1,https://www.gutenberg.org/ebooks/1342,1775,1817,"Austen, Jane",1,"June, 1998",6,June,1998
PS,en,"Mentally ill women -- Fiction,Feminist fiction,Psychological fiction,Married women -- Psychology -- Fiction,Sex role -- Fiction",The Yellow Wallpaper,Text,26363,1952,2,https://www.gutenberg.org/ebooks/1952,1860,1935,"Gilman, Charlotte Perkins",1,"November, 1999",11,November,1999
"PZ,PR",en,Fantasy,Alice's Adventures in Wonderland,Text,18882,11,3,https://www.gutenberg.org/ebooks/11,1832,1898,"Carroll, Lewis",1,"March, 1994",3,March,1994
PR,en,"Monsters -- Fiction;Frankenstein's monster (Fictitious character) -- Fiction;Gothic fiction (Literary genre);Science fiction;Frankenstein, Victor (Fictitious character) -- Fiction;Scientists -- Fiction;Horror tales","Frankenstein; Or, The Modern Prometheus",Text,17128,84,4,https://www.gutenberg.org/ebooks/84,1797,1851,"Shelley, Mary Wollstonecraft",17,06/17/08,6,June,2008
PT,en,"Psychological fiction,Metamorphosis -- Fiction",Metamorphosis,Text,15683,5200,5,https://www.gutenberg.org/ebooks/5200,1883,1924,"Kafka, Franz",16,08/16/05,8,August,2005
PS,en,"Male friendship -- Fiction;Humorous stories;Missouri -- Fiction;Race relations -- Fiction;Bildungsromans;Finn, Huckleberry (Fictitious character) -- Fiction;Fugitive slaves -- Fiction;Mississippi River -- Fiction;Adventure stories;Runaway children -- Fiction;Boys -- Fiction",Adventures of Huckleberry Finn,Text,15347,76,6,https://www.gutenberg.org/ebooks/76,1835,1910,"Twain, Mark",20,08/20/06,8,August,2006
PR,en,"Identity (Psychology) -- Drama,Comedies,England -- Drama,Foundlings -- Drama",The Importance of Being Earnest: A Trivial Comedy for Serious People,Text,13638,844,7,https://www.gutenberg.org/ebooks/844,1854,1900,"Wilde, Oscar",29,08/29/06,8,August,2006
"PZ,PS",en,"Male friendship -- Fiction;Humorous stories;Missouri -- Fiction;Child witnesses -- Fiction;Bildungsromans;Mississippi River Valley -- Fiction;Adventure stories;Runaway children -- Fiction;Boys -- Fiction;Sawyer, Tom (Fictitious character) -- Fiction",The Adventures of Tom Sawyer,Text,13237,74,8,https://www.gutenberg.org/ebooks/74,1835,1910,"Twain, Mark",20,08/20/06,8,August,2006
E300,en,"Slaves -- United States -- Biography;Douglass, Frederick, 1818-1895;African American abolitionists -- Biography;Abolitionists -- United States -- Biography","Narrative of the Life of Frederick Douglass, an American Slave",Text,12794,23,9,https://www.gutenberg.org/ebooks/23,1818,1895,"Douglass, Frederick",10,01/10/06,1,January,2006
PT,en,"Wives -- Drama,Man-woman relationships -- Drama,Marriage -- Drama,Norwegian drama -- Translations into English",A Doll's House : a play,Text,11625,2542,10,https://www.gutenberg.org/ebooks/2542,1828,1906,"Ibsen, Henrik",1,"March, 2001",3,March,2001
PS,en,"Ship captains -- Fiction;Whaling ships -- Fiction;Psychological fiction;Whaling -- Fiction;Whales -- Fiction;Ahab, Captain (Fictitious character) -- Fiction;Sea stories;Adventure stories;Mentally ill -- Fiction","Moby Dick; Or, The Whale",Text,11270,2701,11,https://www.gutenberg.org/ebooks/2701,1819,1891,"Melville, Herman",1,"June, 2001",6,June,2001
PR,en,"Private investigators -- England -- Fiction;Detective and mystery stories, English;Holmes, Sherlock (Fictitious character) -- Fiction",The Adventures of Sherlock Holmes,Text,11125,1661,12,https://www.gutenberg.org/ebooks/1661,1859,1930,"Doyle, Arthur Conan",14,10/14/92,10,October,1892
PR,en,"Revenge -- Fiction,Ex-convicts -- Fiction,Orphans -- Fiction,Bildungsromans,England -- Fiction,Man-woman relationships -- Fiction,Benefactors -- Fiction,Young men -- Fiction",Great Expectations,Text,11068,1400,13,https://www.gutenberg.org/ebooks/1400,1812,1870,"Dickens, Charles",1,"July, 1998",7,July,1998
PR,en,"Male friendship -- Fiction,City and town life -- Fiction,Psychological fiction,Alienation (Social psychology) -- Fiction,Married people -- Fiction,Jewish men -- Fiction,Artists -- Fiction,Epic literature,Domestic fiction,Dublin (Ireland) -- Fiction",Ulysses,Text,10568,4300,14,https://www.gutenberg.org/ebooks/4300,1882,1941,"Joyce, James",1,"July, 2003",7,July,2003
PR,en,"War stories;France -- History -- Revolution, 1789-1799 -- Fiction;Paris (France) -- History -- 1789-1799 -- Fiction;French -- England -- London -- Fiction;Executions and executioners -- Fiction;London (England) -- History -- 18th century -- Fiction;British -- France -- Paris -- Fiction;Historical fiction;Lookalikes -- Fiction",A Tale of Two Cities,Text,10312,98,15,https://www.gutenberg.org/ebooks/98,1812,1870,"Dickens, Charles",1,"January, 1994",1,January,1994
